date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-23-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
01-24-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-25-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-26-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-27-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-28-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-29-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-30-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-31-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-01-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-02-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-04-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-05-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-08-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-09-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-10-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-13-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-14-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-15-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-16-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-17-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-18-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-19-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
