date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-27-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
01-28-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-29-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-30-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-31-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-01-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-02-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-04-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-05-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-08-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-09-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-10-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-13-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-14-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-15-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-16-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-17-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-18-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-19-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-21-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-22-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-23-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-24-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-25-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-26-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-27-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-28-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-29-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-01-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-02-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-04-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-05-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-08-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-09-2020,1,0,0,0,1,1,0,-1,-1,-1,-1,-1
03-10-2020,1,0,0,0,1,0,0,0,-1,-1,-1,-1
03-11-2020,2,1,0,0,1,0,1,1,-1,-1,-1,-1
03-12-2020,3,1,0,0,1,0,2,1,-1,-1,-1,-1
03-13-2020,3,0,0,0,1,0,2,0,-1,-1,-1,-1
03-14-2020,6,3,0,0,1,0,5,3,-1,-1,-1,-1
03-15-2020,11,5,0,0,1,0,10,5,-1,-1,-1,-1
03-16-2020,19,8,0,0,1,0,18,8,-1,-1,-1,-1
03-17-2020,29,10,0,0,1,0,28,10,-1,-1,-1,-1
03-18-2020,42,13,0,0,1,0,41,13,-1,-1,-1,-1
03-19-2020,59,17,0,0,1,0,58,17,-1,-1,-1,-1
03-20-2020,59,0,0,0,1,0,58,0,-1,-1,-1,-1
