date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-18-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-19-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-21-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-22-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-23-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-24-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-25-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-26-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-27-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-28-2020,2,0,1,1,-1,-1,2,0,-1,-1,-1,-1
03-29-2020,3,1,1,0,-1,0,3,1,-1,-1,-1,-1
03-30-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
03-31-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
04-01-2020,3,0,1,0,0,1,2,-1,-1,-1,-1,-1
04-02-2020,3,0,1,0,0,0,2,0,-1,-1,-1,-1
04-03-2020,4,1,1,0,0,0,3,1,-1,-1,-1,-1
04-04-2020,4,0,1,0,0,0,3,0,-1,-1,-1,-1
04-05-2020,4,0,1,0,0,0,3,0,-1,-1,-1,-1
04-06-2020,4,0,1,0,0,0,3,0,-1,-1,-1,-1
04-07-2020,4,0,1,0,0,0,3,0,-1,-1,-1,-1
04-08-2020,4,0,1,0,0,0,3,0,-1,-1,-1,-1
04-09-2020,4,0,1,0,0,0,3,0,-1,-1,-1,-1
04-10-2020,4,0,1,0,0,0,3,0,-1,-1,-1,-1
04-11-2020,4,0,1,0,0,0,3,0,-1,-1,-1,-1
04-12-2020,9,5,1,0,1,1,7,4,-1,-1,-1,-1
04-13-2020,9,0,1,0,1,0,7,0,-1,-1,-1,-1
04-14-2020,9,0,1,0,1,0,7,0,-1,-1,-1,-1
04-15-2020,9,0,1,0,1,0,7,0,-1,-1,-1,-1
04-16-2020,9,0,1,0,1,0,7,0,-1,-1,-1,-1
04-17-2020,9,0,1,0,2,1,6,-1,-1,-1,-1,-1
04-18-2020,9,0,1,0,2,0,6,0,-1,-1,-1,-1
04-19-2020,9,0,1,0,2,0,6,0,-1,-1,-1,-1
04-20-2020,9,0,1,0,2,0,6,0,-1,-1,-1,-1
04-21-2020,10,1,1,0,2,0,7,1,-1,-1,-1,-1
04-22-2020,10,0,1,0,2,0,7,0,-1,-1,-1,-1
04-23-2020,10,0,1,0,2,0,7,0,-1,-1,-1,-1
04-24-2020,10,0,1,0,2,0,7,0,-1,-1,-1,-1
04-25-2020,10,0,1,0,2,0,7,0,-1,-1,-1,-1
04-26-2020,10,0,1,0,6,4,3,-4,-1,-1,-1,-1
04-27-2020,10,0,1,0,6,0,3,0,-1,-1,-1,-1
04-28-2020,10,0,1,0,6,0,3,0,-1,-1,-1,-1
04-29-2020,10,0,1,0,6,0,3,0,-1,-1,-1,-1
04-30-2020,11,1,1,0,6,0,4,1,-1,-1,-1,-1
05-01-2020,12,1,1,0,6,0,5,1,-1,-1,-1,-1
05-02-2020,12,0,1,0,6,0,5,0,-1,-1,-1,-1
05-03-2020,17,5,1,0,6,0,10,5,-1,-1,-1,-1
05-04-2020,17,0,1,0,6,0,10,0,-1,-1,-1,-1
05-05-2020,17,0,1,0,7,1,9,-1,-1,-1,-1,-1
05-06-2020,17,0,1,0,7,0,9,0,-1,-1,-1,-1
05-07-2020,17,0,1,0,7,0,9,0,-1,-1,-1,-1
05-08-2020,18,1,1,0,7,0,10,1,-1,-1,-1,-1
05-09-2020,20,2,1,0,7,0,12,2,-1,-1,-1,-1
05-10-2020,20,0,1,0,8,1,11,-1,-1,-1,-1,-1
05-11-2020,20,0,1,0,8,0,11,0,-1,-1,-1,-1
05-12-2020,22,2,1,0,8,0,13,2,-1,-1,-1,-1
05-13-2020,23,1,1,0,8,0,14,1,-1,-1,-1,-1
05-14-2020,23,0,1,0,9,1,13,-1,-1,-1,-1,-1
05-15-2020,23,0,1,0,10,1,12,-1,-1,-1,-1,-1
05-16-2020,23,0,1,0,10,0,12,0,-1,-1,-1,-1
05-17-2020,23,0,1,0,14,4,8,-4,-1,-1,-1,-1
05-18-2020,24,1,1,0,14,0,9,1,-1,-1,-1,-1
05-19-2020,24,0,1,0,14,0,9,0,-1,-1,-1,-1
05-20-2020,24,0,1,0,14,0,9,0,-1,-1,-1,-1
05-21-2020,24,0,1,0,14,0,9,0,-1,-1,-1,-1
05-22-2020,24,0,1,0,15,1,8,-1,-1,-1,-1,-1
05-23-2020,25,1,1,0,16,1,8,0,-1,-1,-1,-1
05-24-2020,25,0,1,0,17,1,7,-1,-1,-1,-1,-1
05-25-2020,25,0,1,0,17,0,7,0,-1,-1,-1,-1
05-26-2020,25,0,1,0,18,1,6,-1,-1,-1,-1,-1
05-27-2020,25,0,1,0,19,1,5,-1,-1,-1,-1,-1
05-28-2020,25,0,1,0,19,0,5,0,-1,-1,-1,-1
05-29-2020,25,0,1,0,19,0,5,0,-1,-1,-1,-1
05-30-2020,25,0,1,0,19,0,5,0,-1,-1,-1,-1
05-31-2020,25,0,1,0,20,1,4,-1,-1,-1,-1,-1
06-01-2020,25,0,1,0,21,1,3,-1,-1,-1,-1,-1
06-02-2020,25,0,1,0,21,0,3,0,-1,-1,-1,-1
06-03-2020,26,1,1,0,21,0,4,1,-1,-1,-1,-1
06-04-2020,26,0,1,0,21,0,4,0,-1,-1,-1,-1
06-05-2020,26,0,1,0,21,0,4,0,-1,-1,-1,-1
06-06-2020,26,0,1,0,22,1,3,-1,-1,-1,-1,-1
06-07-2020,26,0,1,0,22,0,3,0,-1,-1,-1,-1
06-08-2020,26,0,1,0,22,0,3,0,-1,-1,-1,-1
06-09-2020,28,2,1,0,22,0,5,2,-1,-1,-1,-1
06-10-2020,28,0,1,0,22,0,5,0,22,-1,5,-1
06-11-2020,28,0,1,0,23,1,4,-1,22,0,5,0
06-12-2020,28,0,1,0,23,0,4,0,22,0,5,0
06-13-2020,28,0,1,0,23,0,4,0,22,0,5,0
06-14-2020,28,0,1,0,23,0,4,0,22,0,5,0
06-15-2020,30,2,1,0,24,1,5,1,24,2,5,0
06-16-2020,33,3,1,0,24,0,8,3,24,0,8,3
06-17-2020,34,1,1,0,24,0,9,1,24,0,9,1
06-18-2020,36,2,1,0,24,0,11,2,24,0,11,2
06-19-2020,36,0,1,0,24,0,11,0,24,0,11,0
06-20-2020,36,0,1,0,24,0,11,0,24,0,11,0
06-21-2020,37,1,2,1,24,0,11,0,24,0,11,0
06-22-2020,41,4,2,0,26,2,13,2,26,2,13,2
06-23-2020,42,1,2,0,26,0,14,1,26,0,14,1
06-24-2020,42,0,2,0,26,0,14,0,26,0,14,0
06-25-2020,42,0,2,0,26,0,14,0,26,0,14,0
06-26-2020,43,1,2,0,26,0,15,1,26,0,15,1
