date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-14-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-15-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-16-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-17-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-18-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-19-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-21-2020,3,2,0,0,0,0,3,2,-1,-1,-1,-1
03-22-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-23-2020,4,1,0,0,0,0,4,1,-1,-1,-1,-1
03-24-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-25-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-26-2020,5,1,0,0,0,0,5,1,-1,-1,-1,-1
03-27-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-28-2020,6,1,0,0,0,0,6,1,-1,-1,-1,-1
03-29-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-30-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-31-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
04-01-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
04-02-2020,8,2,0,0,0,0,8,2,-1,-1,-1,-1
04-03-2020,8,0,0,0,0,0,8,0,-1,-1,-1,-1
04-04-2020,8,0,0,0,2,2,6,-2,-1,-1,-1,-1
04-05-2020,9,1,0,0,2,0,7,1,-1,-1,-1,-1
04-06-2020,9,0,0,0,3,1,6,-1,-1,-1,-1,-1
04-07-2020,9,0,0,0,3,0,6,0,-1,-1,-1,-1
04-08-2020,9,0,0,0,3,0,6,0,-1,-1,-1,-1
