date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-22-2020,547,0,0,0,0,0
01-23-2020,639,18,30,92,18,30
01-24-2020,916,26,36,277,8,6
01-25-2020,1979,56,49,1063,30,13
01-26-2020,2737,80,51,758,24,2
01-27-2020,4409,106,60,1672,26,9
01-28-2020,5970,132,104,1561,26,44
01-29-2020,7678,170,127,1708,38,23
01-30-2020,9658,213,179,1980,43,52
01-31-2020,9783,213,214,125,0,35
02-01-2020,14375,304,331,4592,91,117
02-02-2020,17114,361,478,2739,57,147
02-03-2020,20400,425,635,3286,64,157
02-04-2020,24290,490,890,3890,65,255
02-05-2020,24405,492,1020,115,2,130
02-06-2020,28165,565,1351,3760,73,331
02-07-2020,31215,636,1750,3050,71,399
02-08-2020,35051,730,2353,3836,94,603
02-09-2020,40160,908,3286,5109,178,933
02-10-2020,42310,1011,3921,2150,103,635
02-11-2020,44641,1113,4730,2331,102,809
02-12-2020,59805,1366,5915,15164,253,1185
02-13-2020,63841,1380,6713,4036,14,798
02-14-2020,66482,1522,8105,2641,142,1392
02-15-2020,68500,1665,9454,2018,143,1349
02-16-2020,70550,1770,10879,2050,105,1425
02-17-2020,72438,1868,12621,1888,98,1742
02-18-2020,74184,2004,14420,1746,136,1799
02-19-2020,74576,2118,16232,392,114,1812
02-20-2020,75465,2236,18346,889,118,2114
02-21-2020,76290,2345,20731,825,109,2385
02-22-2020,76936,2442,22917,646,97,2186
02-23-2020,77150,2592,24779,214,150,1862
02-24-2020,77658,2663,27359,508,71,2580
02-25-2020,78064,2715,29783,406,52,2424
02-26-2020,78487,2743,32534,423,28,2751
02-27-2020,78824,2788,36141,337,45,3607
02-28-2020,79250,2834,39012,426,46,2871
02-29-2020,79822,2870,41640,572,36,2628
03-01-2020,80026,2912,44502,204,42,2862
03-02-2020,80151,2943,47190,125,31,2688
03-03-2020,80267,2981,49865,116,38,2675
03-04-2020,80409,3012,51961,142,31,2096
03-05-2020,80552,3042,53714,143,30,1753
03-06-2020,80651,3070,55392,99,28,1678
03-07-2020,80695,3097,56940,44,27,1548
03-08-2020,80735,3118,58543,40,21,1603
03-09-2020,80754,3136,59888,19,18,1345
03-10-2020,80778,3158,61463,24,22,1575
03-11-2020,80793,3169,62780,15,11,1317
03-12-2020,80796,3170,62851,3,1,71
03-13-2020,80824,3189,65540,28,19,2689
03-14-2020,80844,3199,66911,20,10,1371
03-15-2020,80860,3213,67749,16,14,838
03-16-2020,80881,3225,68679,21,12,930
03-17-2020,80894,3237,69601,13,12,922
03-18-2020,80928,3245,70420,34,8,819
03-19-2020,80968,3248,71150,40,3,730
